,device_uuid,date,feature1,feature2,feature3,platform,user_registered,country
0,d2e328be-5adb-4a43-ba2e-3d03231e7fb3,2016-03-01,5,4.0,3.0,iOS,False,NL
1,d2e328be-5adb-4a43-ba2e-3d03231e7fb3,2016-04-01,4,3.2,2.4,iOS,False,NL
2,d2e328be-5adb-4a43-ba2e-3d03231e7fb3,2016-05-01,2,1.6,1.2,iOS,False,NL
3,c63bc11f-4ee2-4cd2-8088-84a5cdbc57f4,2016-10-01,4,3.2,2.4,iOS,False,FR
4,c63bc11f-4ee2-4cd2-8088-84a5cdbc57f4,2016-11-01,9,7.2,5.3999999999999995,iOS,False,FR
5,c63bc11f-4ee2-4cd2-8088-84a5cdbc57f4,2016-12-01,4,3.2,2.4,iOS,False,FR
6,c63bc11f-4ee2-4cd2-8088-84a5cdbc57f4,2017-01-01,8,6.4,4.8,iOS,False,FR
7,c63bc11f-4ee2-4cd2-8088-84a5cdbc57f4,2017-02-01,5,4.0,3.0,iOS,False,FR
8,c63bc11f-4ee2-4cd2-8088-84a5cdbc57f4,2017-03-01,4,3.2,2.4,iOS,False,FR
9,c63bc11f-4ee2-4cd2-8088-84a5cdbc57f4,2017-04-01,10,8.0,6.0,iOS,False,FR
10,c63bc11f-4ee2-4cd2-8088-84a5cdbc57f4,2017-05-01,4,3.2,2.4,iOS,False,FR
11,c63bc11f-4ee2-4cd2-8088-84a5cdbc57f4,2017-06-01,2,1.6,1.2,iOS,False,FR
12,c63bc11f-4ee2-4cd2-8088-84a5cdbc57f4,2017-07-01,13,10.4,7.8,iOS,False,FR
13,c63bc11f-4ee2-4cd2-8088-84a5cdbc57f4,2017-08-01,6,4.800000000000001,3.5999999999999996,iOS,False,FR
14,aecf8495-6b31-46a8-bb98-4bcae712c5e2,2016-03-01,13,10.4,7.8,iOS,False,AU
15,ad35a14d-145d-4af8-89ec-833227bea631,2016-09-01,11,8.8,6.6,Android,False,AU
16,fd6dd814-c642-4b2a-b727-787cfea4b5bb,2016-04-01,1,0.8,0.6,iOS,False,NL
